1,E. D. Abbott Ltd, Abbott of Farnham E D Abbott Limited was a British coachbuilding business based in Farnham Surrey trading under that name from 1929. A major part of their output was under sub-contract to motor vehicle manufacturers. Their business closed in 1972.
10,Drugera santiago, Drugera santiago is a moth of the Notodontidae family. It is found in north-eastern Ecuador.The length of the forewings is about 22.5 mm. The ground colour of the forewings is a mixture of charcoal grey and silvery white scales. The ground colour of the hindwings is dirty light grey-brown.
14,Black No More, Black No More: Being an Account of the Strange and Wonderful Workings of Science in the Land of the Free AD 1933-1940 is a 1931 Harlem Renaissance era satire on American race relations by George S. Schuyler (pronounced Sky-ler). He targets both the KKK and NAACP in condemning the ways in which race functions as both an obsession and a commodity in early twentieth-century America.
13,City of Bad Men, City of Bad Men is a 1953 American Western film starring Jeanne Crain Dale Robertson and Richard Boone.
12,Desi Rockstar, Desi Rockstar Gippy Grewal has sung 10 Songs. Aman Hayer has produced the entire album.
6,Peugeot 405, The Peugeot 405 is a large family car released by the French automaker Peugeot in July 1987 and which continues to be manufactured under licence outside France. It was voted European Car of the Year for 1988 by the largest number of votes in the history of the contest.
6,TVS Sport, TVS Sport is a 100 cc motorcycle developed by TVS Motors. It is launched in the Indian market.
4,Andreas Lambrakis, Andreas Lambrakis was a professional wrestler from Greece. Billed as a former Greek Heavyweight Champion he was active in Australia during the 1950s and 60s and also competed in the World Wide Wrestling Federation. In 1964 he scored several significant wins in Toronto.
14,The Varsitarian, The Varsitarian (Varsi The V or V) is the official student publication of the University of Santo Tomas (UST). Founded in January 1928 by a group of students led by Jose Villa Panganiban it is one of first student newspapers in the Philippines. It is published fortnightly. The lampoon issue is called The Vuisitarian. Tomas U. Santos the mascot of the Varsitarian is a Thomasian who represents the students of the campus.
12,Freeway (EP), Freeway is a five-track EP by English dubstep artist Flux Pavilion. It was released on 11 November 2013. He also completed a tour under the same name with Datsik and Roksonix to promote the release.
12,Murder by Pride, Murder by Pride is the eighth studio album by Stryper. The first single for the album Peace of Mind debuted at No. 27 on Christianrock.net on October 24 2008 and peaked at 1 on February 22 2009. The track is a cover version originally performed by rock band Boston on its debut 1976 self-titled album.
2,Tunkhannock Area School District, Tunkhannock Area School District is a midsized rural/suburban public school district serving most of Wyoming County in northeast Pennsylvania in the United States. Tunkhannock Area School District encompasses approximately 397 square miles (1030 km2). According to 2010 federal census data Tunkhannock Area School District served a resident population of 28276. By 2010 the District's population declined sharply to 19032 people.
14,East Liberty (novel), East Liberty is a coming-of-age novel by the American writer Joseph Bathanti. Set in the 1950s and 1960s in the Pittsburgh Pennsylvania Italian-American neighborhood of East Liberty it tells the story of Bobby Renzo who is raised by his unwed mother and who feels called to the Roman Catholic priesthood.
13,Les Gladiatrices: Blondes vs. Brunes, Les Gladiatrices: Blondes vs. Brunes is a 2004 DVD based in a French reality TV show that featured women wrestling each other. The women were divided into two teams one blonde and the other brunette.
7,Birchrunville General Store, Birchrunville General Store is a historic general store located in West Vincent Township Chester County Pennsylvania. It was built in 1898 and is a two-story stone and frame banked structure in a Late Victorian style. It has a mansard roof with fishscale slate and a jutting short wooden bay window. It was built to house a general store and post office with a meeting hall above and creamery below.It was added to the National Register of Historic Places in 1978.
7,First Baptist Church of Grand Blanc, First Baptist Church of Grand Blanc is a historic church at 6101 S. Saginaw Street in Grand Blanc Michigan.It was built in 1851 and added to the National Register in 1983.
